sent_id,original_sent_text,original_cluster_label,similarity_rank,similarity_score,similar_ex_id,similar_ex_text,similar_ex_label
72,"Development of product design specifications using customer inputs, benchmarking, product/market research and patent review.",1.0,0,0.618347691024176,1106,Innovative new product design and creative development process.,Design
76,"Key skills developed include teamwork, communication, project planning, innovation, design, and entrepreneurship.",1.0,0,0.5755787477128408,56,"Basic study, problem solving, and other skills needed to succeed as an EE or CE major.",Professional Skills
85,"Particular emphasis is placed upon the Human Resource Management System in the Navy to include an understanding of drugs and alcohol abuse, intercultural affairs, and minority affairs.",1.0,0,0.5055306783521288,298,"Major topics in this course: - Managing people in an ethical, legal way that is aligned with corporate strategy and helps organizations reach their goals; - Successfully attracting, recruiting, and selecting talented people; - Creating interesting, engaging jobs and giving meaningful feedback in order to retain great employees; - Rewarding and motivating people through intrinsic and extrinsic methods to encourage the most effective and ""right"" kind of employee behaviors to create an engaged, productive workforce through people strategies and practices.",Business
87,Typically offered Fall Spring,1.0,0,0.3308265205741371,973,Culminating project demonstrations or competition.,Teams
89,"We use it to introduce new topics and approaches, including experimental pedagogies, courses that involve travel, and the like.",1.0,0,0.5706514277466864,673,It also helps students learn team work and write design project proposals under the mentorship of a faculty advisor.,Design
91,"Possible topics are Bioethics and Politics, Food Policy, and Bicycle Politics",1.0,0,0.6169730605267788,446,"This course focuses on problems and issues that are beginning to be recognized as worthy of public discussion or policy action, or that may be new areas of expertise and interest for our faculty members.",Research Ethics
100,Seniors are responsible for the management tasks of planning and organizing their team project activity.,2.0,0,0.5557359186490876,1468,This will be accomplished through presentation a discussion of critical issues as well as the application of these principles to the senior design project.,Communication And Design
102,"Seniors will also meet with the customer and mentor the first year, sophomores and juniors.",2.0,0,0.5560253963632575,1943,Prepare EE students for the senior design implementation.,Design
121,"This course will also introduce the students to the construction industry relative to office and field requirements and introduce the student to professional skills that will be needed for their experiential learning opportunities including but not limited to: verbiage and acronyms, tools, software platforms, and general business etiquette and ethics",2.0,0,0.8509913947070826,1356,The course emphasizes a professional perspective to the practice of construction management and incorporates lectures by practitioners of various professions.,Construction
122,This course will prepare the student for professional practice in construction engineering including information on Careers and Issues in Construction; History and Culture of the U.S. Construction Industry; Engineering Ethics and Preparation for Leadership.,2.0,0,1.0,1453,This course will prepare the student for professional practice in construction engineering including information on Careers and Issues in Construction; History and Culture of the U.S. Construction Industry; Engineering Ethics and Preparation for Leadership.,Construction
123,Information and assistance is also provided related to Minors and selections associated with the Plan of Study; Students Organizations; Opportunities for Construction Research and Community Outreach at Purdue.,2.0,0,0.639632634076505,544,An orientation course to prepare the student for professional practice in construction engineering including information on Careers and Issues in Construction; History and Culture of the U.S. Construction Industry; Engineering Ethics and Preparation for Leadership.,Construction
135,Guidance on the preparation of individual plans of study and information on civil engineering career options are provided.,2.0,0,0.8154789351396708,871,An introduction to the civil engineering profession with emphasis on careers open to the civil engineering students.,Civil Engineering Profession And Ethics
146,Typically offered Fall Spring,2.0,0,0.3308265205741371,973,Culminating project demonstrations or competition.,Teams
147,Forum on contemporary issues in the global profession of mechanical engineering.,2.0,0,0.7842555195494177,1961,"Professional practice and broader impacts of the mechanical engineering profession are presented through a series of lectures and invited talks, supplemented by assignments and projects.",Mechanical Engineering
158,"Compares and contrasts common project delivery methods, processes, key players, and management topics for the design and construction industry.",3.0,0,0.9999999999999418,919,"Compares and contrasts common project delivery methods, processes, key players, and management topics for the design and construction industry.",Construction
174,Define problem statements and constraints for biological conditions.,3.0,0,0.5654685863860159,731,Students taking 20.005 focus their term project on a problem in biological engineering in which there are intertwined ethical and technical issues.,Biomedical
177,"Integrate ethical, global and social issues in engineering.",3.0,0,0.832129325110474,79,"Case study approach to the relationship of engineering to social, ethical and cultural aspects of the broader community both in the U. S. and worldwide.",Global
216,"Topics include global cultural issues of design, marketing and communication; engineering aesthetics and ethics; individual and aggregated behavioral decision making; social networking and online communities; research and evaluation methods; applications in many systems engineering",4.0,0,0.999999999999925,483,"Topics include global cultural issues of design, marketing and communication; engineering aesthetics and ethics; individual and aggregated behavioral decision making; social networking and online communities; research and evaluation methods; applications in many systems engineering",Global
233,"Social impacts of technology system design decisions including ethical frameworks, government legislation and health risks.",4.0,0,0.6994731578207233,725,"Social, ethical, professional, economic, and legal issues in the development and deployment of computer technology in society.",Technology
235,Professionalism and ethics in the practice of engineering,4.0,0,0.93418380091923,998,Engineering ethics and professionalism.,Engineering Ethics And Profession
254,Case histories.,5.0,0,0.9999999999998024,910,Case histories.,Case Studies
264,Part two of a two-semester chemical product design sequence.,5.0,0,0.996038381387096,1207,Part one of a two-semester chemical product design sequence.,Chemical Process Design
265,Teams produce a consumer-ready prototype of a chemical product.,5.0,0,0.9999999999999466,1670,Teams produce a consumer-ready prototype of a chemical product.,Chemical Process Design
279,Role and responsibility of structural engineers.,5.0,0,0.8522357863608588,774,The role and ethical responsibilities of a structural engineer.,Ethics
280,Introduction to four structural engineering focus sequences,5.0,0,0.5292739600743106,339,Second of two mechanical engineering capstone design courses.,Design
283,"Project management, team working, ethics, and human factors.",5.0,0,0.9999999999999052,1253,"Project management, team working, ethics, and human factors.",Professional Skills
284,Term project in model structure design.,5.0,0,0.5884539686872691,2045,"This project based course introduces students to the engineering design process including; identifying the need, benchmarking, writing design specifications, evaluating alternative designs and selecting a final design.",Design
303,Professional ethics discussed.,6.0,0,0.8633293976850543,1243,Professional ethics.,Professionalism
308,Process flow diagrams and cost estimation.,6.0,0,0.9999999999999196,1231,Process flow diagrams and cost estimation.,Cost Estimation
309,Computer-aided design and analysis.,6.0,0,0.543200496387414,1121,"Introduction to concepts, procedures, and key issues of engineering design.",Design
316,Term project in model structure design.,6.0,0,0.5884540634246782,2045,"This project based course introduces students to the engineering design process including; identifying the need, benchmarking, writing design specifications, evaluating alternative designs and selecting a final design.",Design
323,Engineering ethics and professionalism.,6.0,0,0.9999999999999072,998,Engineering ethics and professionalism.,Engineering Ethics And Profession
334,"ENG 100D is the gateway course for the Global TIES program, but it is open to all undergraduate students.",6.0,0,0.4925513826041791,409,"The course also includes lectures and projects on communication, understanding the importance of lifelong learning, ethics, and a knowledge of contemporary issues",Careers
340,"Representation of the structure of complex, interconnected chemical processes with recycle streams.",6.0,0,0.4643213830806434,1222,Principles of chemical process design and economics.,Chemical Process Design
346,"Wound repair, blood clotting, foreign body response, transplantation biology, biocompatibility of materials, tissue engineering.",6.0,0,0.6165864343282287,1377,"The purpose of this course is to provide the students with an understanding of stem cell biology, tissue engineering, and related applications involved in rehabilitation sciences and regenerative medicine.",Biomedical
351,Ethical issues.,7.0,0,0.7187088073778561,1922,Legal issues.,Law
352,A term project and oral presentation are required,7.0,0,0.7502323161970859,1934,Oral presentations and written reports are required,Reports
356,Fundamental principles of environmental design.,7.0,0,1.0,1853,Fundamental principles of environmental design.,Environmental
368,"Social, ethical, and professional issues facing computing professionals; ethical principles; discussion of case studies.",7.0,0,0.86985827974391,862,An examination of social and ethical issues associated with computing.,Technology
370,It includes student presentations and feedback to improve discussion skills.,7.0,0,0.6991253977162146,1317,"Students will develop communication skills through proposal preparation, report writing, oral presentation.",Communication
380,Interdisciplinary examination and appraisal of emerging ethical and social issues resulting from recent advances in the biological and medical sciences.,7.0,0,0.7675925847725592,612,"Exploration of ethical issues in biochemistry, genetics, and molecular biology including recombinant DNA technology, genetically modified organisms, stem cell research, scientific patents, and DNA databases.",Biomedical
387,Includes both classic and contemporary literature.,7.0,0,0.5978382278560802,1073,Heavy emphasis on primary literature.,Literature And History
389,"Topics include professional and ethical responsibilities, risks and liabilities, intellectual property, and privacy.",7.0,0,0.8895082366957783,820,"Topics include: ethical theories and decision making, intellectual property, freedom of expression, privacy, security, and professional responsibility.",Product Development
393,Economic issues including entrepreneurship and globalization.,7.0,0,0.6496364915837872,489,"Topics include professionalism and ethics, entrepreneurship, cultural differences, and collaborating globally.",International
408,"Information systems (IS), concepts, hardware, software, telecommunications, database management.",8.0,0,0.9999999999998912,1100,"Information systems (IS), concepts, hardware, software, telecommunications, database management.",Computing Ethics
409,"IS development, applications and management in telecommunications,database management, various business processes, global issues, security and ethical challenges",8.0,0,0.6806277701140254,1100,"Information systems (IS), concepts, hardware, software, telecommunications, database management.",Computing Ethics
417,Introduction to engineering as a profession including issues surrounding computer engineering.,8.0,0,0.7865928347846537,308,Overview of the nature and scope of the electrical and computer engineering profession.,Professional Development
429,"Self-awareness: interpersonal needs, attitudes toward change; cognitive styles, ethics and values; listening; communicating; interviewing; time and stress management; creativity and managing creativity.",8.0,0,0.5492722343352479,1034,"Explore leadership styles, managing commitments, change management, negotiation, conflict resolution, organizational culture, emotional intelligence, team dynamics and business ethics.",Management And Organizations
433,"Examination of the classes and properties of degradable and non-degradable materials, interactions of materials with cells and tissues, and fundamentals of biocompatibility including inflammation, encapsulation, and infection.",8.0,0,0.4782799352042883,1841,"Exploration of biology, materials, body mechanics, manufacturing, quality control, and ethics and the intersection of these subjects as they relate to biomedical manufacturing.",Biomedical
439,Introduction to graduate research guidelines and practices.,8.0,0,0.6298514543481741,528,"(I, II) Introduction to Undergraduate Research.",Research Ethics
441,Preparation of a professional quality chemical engineering research proposal.,8.0,0,0.6219986987110416,989,Discussion of issues associated with development of a professional career in chemical engineering.,Chemical Engineering
446,Overview of the civil engineering profession in regards to its nature and scope.,8.0,0,0.8824467610057736,871,An introduction to the civil engineering profession with emphasis on careers open to the civil engineering students.,Civil Engineering Profession And Ethics
450,Alternative sources of funds; time value of money; expenditure of capital funds and methods of evaluating alternative projects.,9.0,0,0.6396480133059425,170,Engineering/managerial analysis of the economic aspects of project proposals.,Management And Organizations
455,"Course readings, final project/design report.",9.0,0,0.7035416350643758,758,"The course outcome is the writing and presentation of a proposal for the senior design project, NUCL 45000.",Design
481,"Emphasis on economic, social, historical, ethical and environmental contexts.",9.0,0,0.6956295087662845,142,"Ecological, social, political, economic, and ethical implications of issues will be analyzed.",Environmental
487,Critical issues that affect the contemporary practice of graphic design as it relates to the United States.,9.0,0,0.618779005891375,1589,"In this class we will examine the history of design, the challenges that designers over the ages have had to face and the ethical questions that have arisen from those choices.",Design
496,"Topics include changing ideas of health and illness, development of doctors and hospitals, social and ethical issues in health care, and epidemics from cholera to AIDS",9.0,0,0.7664458512935237,797,Topics change each semester and may include: global development and health; socio-cultural issues in health care; health disparities; applied bioethics; health care system reform; narrative medicine.,Biomedical
509,Topics vary each time offered.,10.0,0,0.6093879135821655,473,"Topics for discussion included oral and written communications skills, environmental, legal, energy, and ethics issues.",Product Development
514,"Critical topics addressed in the course include crisis management, intergovernmental relations, social equity, public-private partnerships, and privatization.",10.0,0,0.682597154338375,446,"This course focuses on problems and issues that are beginning to be recognized as worthy of public discussion or policy action, or that may be new areas of expertise and interest for our faculty members.",Research Ethics
523,"Each area will be studied through lectures, debates, guest speakers, class discussion, and case studies.",10.0,0,0.6285191150150637,1298,"Speakers cover topics such as elective coursework and extra-curriculars, networking, getting hired, professional ethics, and how to be flexible in a dynamic work environment.",Guest Speakers
532,External reporting concepts.,10.0,0,0.5401830225668859,1753,"Audit methodology including risk analysis, internal control, procedures for gathering evidence and the role of statistical sampling in auditing.",Audits
533,"Audit methodology including risk analysis, internal control, procedures for gathering evidence and the role of statistical sampling in auditing.",10.0,0,0.9999999999998784,1753,"Audit methodology including risk analysis, internal control, procedures for gathering evidence and the role of statistical sampling in auditing.",Audits
535,"Development of critical thinking, ethical reasoning, professional research and teamwork skills.",10.0,0,0.7286334718897253,1561,"Development of collaborative skills, communication principles, and discussion of ethical issues.",Communication
538,Preliminary design of aerospace vehicles.,10.0,0,0.4678552420541382,339,Second of two mechanical engineering capstone design courses.,Design
543,"How science works: Hypotheses, data integrity, classification, interpretations, ethics, and communications.",10.0,0,0.6951857785854691,1374,"The lectures address foundational concepts of the scientific method, research ethics, scientific communication, and how to understand scientific literature.",Research Ethics
545,"Topics include professional certification, ethics, and maintaining an active network of information sources and professional contacts in support of lifelong learning.",10.0,0,0.7229680281900561,1234,Professional development topics are presented including professional ethics and registration.,Professionalism
549,Global road safety and intermodal operations.,10.0,0,1.0,222,Global road safety and intermodal operations.,Infrastructure
557,"Emphasis on development of critical thinking process, abstract problem analysis and evaluation.",11.0,0,0.5713764069225689,130,"Development of ethical reasoning and enhancing critical thinking skills using theory and case studies with applications to engineering practice, including international issues.",Professionalism
562,"Assemblies costs, unit costs, production rates.",11.0,0,0.6154551416792867,1392,"Theory and practice of estimating construction costs of materials, labor, equipment, contingency, overhead and markup.",Cost Estimation
573,"Computer, software, and data security: basic cryptography, security policies, multilevel security models, attack and protection mechanisms, legal and ethical issues.",11.0,0,0.7956746448595874,2048,"Topics include applied cryptography, access control, programming and software security, operating system security, network security protocols, and the legal and ethical aspects of security software",Cybersecurity
579,Identify major ethical issues and dilemmas in the conduct of agricultural and agribusiness management and decision making.,11.0,0,0.7472576195297089,1109,"Inquiry into ethical issues and environmental consequences of horticultural cropping systems, production practices and managed landscapes.",Food And Agriculture
584,"Rights and ethical responsibilities of school leaders are examined in relation to their roles and responsibilities with boards, other school personnel, and students.",11.0,0,0.681396577666105,195,Exploration of ethical models and practice of educational administrators.,Management And Organizations
585,"Management of school operations; accountability and ethical business practices; risk management; school plant operations, food service and student transportation.",11.0,0,0.5943764266153776,467,"Topics discussed include teaching methods, learning, security and maintenance of equipment, professional journals, ethics, legal issues, diversity, and problem solving.",Product Development
586,Includes attendance at selected sessions of the Iowa School Business Management Academy in the spring and two additional class sessions during the summer.,11.0,0,0.484089106863806,1985,"Speakers include faculty, invited guests from industry and government, as well as students",Guest Speakers
591,"Understanding the complexities of leadership in building an organization, decision-making styles, communication, managing change, building trust, shared responsibility leadership, creating legacy, prioritizing, effective use of authority, conflict, ethics, integrity, transparency, accountability.",11.0,0,0.7273928697097841,1034,"Explore leadership styles, managing commitments, change management, negotiation, conflict resolution, organizational culture, emotional intelligence, team dynamics and business ethics.",Management And Organizations
597,"Emphasis on systems that are resource efficient, environmentally sound, socially acceptable, and profitable.",11.0,0,0.6049493930695348,632,"In addition, project planning tools, business plans, ethics, and design for manufacturability and sustainability will be covered.",Design
605,Offered on a satisfactory-fail basis only.,12.0,0,0.412683553971068,1580,Extensive written reports and oral presentations are required,Reports
612,Bayesian reliability analysis.,12.0,0,0.4356599367696632,560,"Basics of failure analysis, forensics, and reliability engineering and the scientific fundamentals underlying the most common types of failure.",Risk Analysis
615,Fault and event tree analysis.,12.0,0,0.9999999999998844,1046,Fault and event tree analysis.,Risk Analysis
620,Written and oral final project reports.,12.0,0,0.773000974132779,2063,Written/oral reports.,Reports
622,Ethical and social responsibilities of top managers in corporations.,12.0,0,0.6818990425509683,859,An analysis and evaluation of major issues in business ethics.,Business
623,"Topics include stakeholder management, corporate social responsibilities, strategies for sustainable development, pursuit of societal and corporate goals, board and chief executive leadership roles, governance reform and ethics, and executive leadership style and values.",12.0,0,0.7085739895139667,826,"Topics include: motivation, group dynamics, team development, ethics, communications, organizational politics, leadership, power, organizational development, organizational design and structure.",Organizations
626,"Students demonstrate mastery of core courses in microbiology through discussion of current literature in microbiology and immunology, issues in scientific conduct, and bioethics in microbiology.",12.0,0,0.6309719278704424,1695,"Theory and practice of techniques typically used in microbiological and related biological research; biological experimental data interpretation and analysis; practice writing a research paper, reading primary literature, presenting their work to peers, and self- directing an independent research project (including keeping accurate lab notebooks); critical thinking in controversial scientific research ethics.",Research Ethics
627,Students present current papers in a journal club format and gain experience in writing and reviewing grant proposals.,12.0,0,0.5461604945537147,745,"The class covers hands-on elements of doing research, such as choosing a research topic, generating research questions, making a work plan, dealing with the ambiguity and hurdles of research, research ethics, as well as publishing scientific papers, scientific writing, giving oral communications, and writing research proposals.",Research Ethics
635,"Human evolution as known from fossil evidence, comparative primate studies, and genetic variations in living populations.",12.0,0,0.6022632253143998,1154,"Laboratory-tutorial sessions include study and discussion of human osteology, fossil hominids, simple Mendelian traits, and bio-ethics in applied biological anthropology.",Anthropology
645,"Each area will be studied through lectures, debates, guest speakers, class discussion, and case studies.",12.0,0,0.6285191150150637,1298,"Speakers cover topics such as elective coursework and extra-curriculars, networking, getting hired, professional ethics, and how to be flexible in a dynamic work environment.",Guest Speakers
652,"Computer security issues including authentication, access control, and malicious code.",13.0,0,0.7252128111423413,1756,"Authentication, firewalls, vulnerabilities, exploits, countermeasures.",Cybersecurity
655,Wireless security.,13.0,0,0.9999999999998992,1723,Wireless security.,Cybersecurity
670,"Exploration of the components of our food system including food production, food processing, and food access and the social, political and ethical influences on these components.",13.0,0,0.6334446198944393,1043,Explores the many uses of these food.,Food And Agriculture
675,"Students will study a variety of issues that include, but are not exclusive to, new media, gender, class, design and the public sphere, design as social action, postmodern design theory, sustainability, and ethical practice.",13.0,0,1.0,376,"Students will study a variety of issues that include, but are not exclusive to, new media, gender, class, design and the public sphere, design as social action, postmodern design theory, sustainability, and ethical practice.",Professional Ethics
688,"Basic background concerning the duties and responsibilities of the junior naval officer and division officer in the areas of integrity and ethics, human resources management, personnel management, material management, and the administration of discipline.",13.0,0,0.5691235628545732,902,"Cadets assess risk, make ethical decisions, and lead fellow ROTC cadets.",Military
690,"Investigation of moral issues in the context of major ethical theories of value and obligation; e.g., punishment, abortion, economic justice, job discrimination, world hunger, and sexual morality.",13.0,0,0.7921007805655168,1341,"Surveys traditional ethical theories of value, obligation, and rights and applies these theories to contemporary social problems such as abortion, euthanasia, poverty, and distributional equity, and environmental problems.",Philosophy
700,Major moral theories will be discussed and applied,14.0,0,0.7699811515122019,2000,Study of major theories of morality and the good life.,Philosophy
704,Topics vary each time offered.,14.0,0,0.6093879135821655,473,"Topics for discussion included oral and written communications skills, environmental, legal, energy, and ethics issues.",Product Development
711,"Topics such as the different roles of public officials, proper scope and use of administrative discretion, and the admissibility of religious, political, and philosophical commitments in governmental decision making.",14.0,0,0.6130376740058436,1646,"Special problems of obligation and valuation related to law, medicine, politics, and education, as well as business, engineering, and architecture; altruism, trust, vocation, codes of honor, professional privilege and responsibilities for others arising from differential abilities.",Law And Regulations
719,"Examination of persuasive theories, strategies and research in persuasion.",14.0,0,0.4828126314702889,595,"Emphasis on written and oral communications and on ethical, social, and economic factors.",Communication
721,"ntroduction to the computer science discipline and code of ethics, Com S courses, research and networking opportunities, procedures, policies, help and computing resources, extra-curricular activities offered by the Department of Computer Science and Iowa State University.",14.0,0,0.99999999999985,1191,"ntroduction to the computer science discipline and code of ethics, Com S courses, research and networking opportunities, procedures, policies, help and computing resources, extra-curricular activities offered by the Department of Computer Science and Iowa State University.",Computing Ethics
724,Offered on a satisfactory-fail basis only.,14.0,0,0.412683553971068,1580,Extensive written reports and oral presentations are required,Reports
776,"Course readings, final project/design report.",15.0,0,0.7035416350643758,758,"The course outcome is the writing and presentation of a proposal for the senior design project, NUCL 45000.",Design
778,"Impacts of historical, cultural, social, economic, ethical, environmental, and political conditions on the design and construction of various infrastructure projects outside the United States.",15.0,0,0.6446621967791168,1225,"Principles of design of civil engineering projects from the viewpoint of the whole; interactions between individual parts (subsystems) and the effect of each on the overall system; overview of design process, quality of design, risk and liability, ethics, and economic considerations; report writin",Civil Engineering Profession And Ethics
791,Life cycle cost analysis.,15.0,0,0.9999999999999114,295,Life cycle cost analysis.,Environmental
793,"Critical analysis of context; of claims, assumptions, premises, and evidence of both sides; represented and disenfranchised populations; the ethical issues to develop personal position and courses of action to impact public policy process.",15.0,0,0.582392836830568,173,"Epistemology; policy analysis basics: policy paradigms based on utility maximization; equity and rights based frameworks; tools, methods and applications of quantitative policy analysis: cost-benefit approaches, risk analysis, decision analysis, values, tradeoffs and multi-attribute utility theory, modelling uncertainty; critiques and limitations of tools: psychology, perception and decision making, ethical challenges",Environmental
809,"Computer system and network security: implementation, configuration, testing of security software and hardware, network monitoring.",16.0,0,0.7032499069125977,1456,This covers fundamentals of computer security.,Security
813,Emphasis on laboratory experiments.,16.0,0,0.7408240325256156,1166,Lectures provide background information and theories of experimentation.,Experiments
832,The second of a two-semester sequence intended to introduce chemical engineers to the basic concepts of biochemical engineering.,16.0,0,1.0,1386,The second of a two-semester sequence intended to introduce chemical engineers to the basic concepts of biochemical engineering.,Biomedical
836,"The lectures address foundational concepts of the scientific method, research ethics, scientific communication, and how to understand scientific literature.",16.0,0,0.9999999999999998,1374,"The lectures address foundational concepts of the scientific method, research ethics, scientific communication, and how to understand scientific literature.",Research Ethics
839,"This course prepares students to conduct a 10-week global health research project in a low or middle-income country (LMIC); provides a background in global health, emphasizing infectious disease research, international research ethics, and the conduct of health research in low-resource settings.",16.0,0,0.6125587339667068,797,Topics change each semester and may include: global development and health; socio-cultural issues in health care; health disparities; applied bioethics; health care system reform; narrative medicine.,Biomedical
843,Discussion of how infectious agents cause disease and impact society at large.,16.0,0,0.5453392593278273,1605,"Introduction to health issues, such as: infectious diseases, obesity, mental health, healthcare disparities, health insurance, drug addiction, and vaccines.",Biomedical
845,The course is intended for non-majors and will begin by briefly providing necessary background in microbiology and immunology.,16.0,0,0.5728725533386032,1695,"Theory and practice of techniques typically used in microbiological and related biological research; biological experimental data interpretation and analysis; practice writing a research paper, reading primary literature, presenting their work to peers, and self- directing an independent research project (including keeping accurate lab notebooks); critical thinking in controversial scientific research ethics.",Research Ethics
856,"Includes legal and policy constraints and considerations for specific domains and data-types, collection methods, and institutions; technical, legal, and market approaches to mitigating and managing concerns; and the strengths and benefits of competing and complementary approaches.",17.0,0,0.5868316297779922,182,"Ethical, legal and business aspects.",Law And Business
887,"Explore strategies for maximizing the economic and societal benefits of synthetic biology and minimizing the risks; create ""seedlings"" for future research projects in synthetic biology at UC Berkeley; increase multidisciplinary collaborations at UC Berkeley on synthetic biology; and introduce students to a wide perspective of SB projects and innovators as well as policy, legal, and ethical experts.",17.0,0,0.679208735804652,1421,"This course is intended to help students gain a deeper appreciation for the issues, including ethics, surrounding biotechnology and society.",Biomedical
893,"The emphasis will be on biochemical kinetics, protein engineering, cell growth and metabolism, bioreactor design, downstream processing, pharmacokinetics, drug delivery, and ethics.",17.0,0,0.9999999999999452,1685,"The emphasis will be on biochemical kinetics, protein engineering, cell growth and metabolism, bioreactor design, downstream processing, pharmacokinetics, drug delivery, and ethics.",Biomedical
895,It focuses on real-life practices and challenges of translating scientific discovery into commercial products.,17.0,0,0.9999999999999376,280,It focuses on real-life practices and challenges of translating scientific discovery into commercial products.,Biotechnology
898,"We will cover a wide range of topics including basic financial, strategic and intellectual property concepts for products, managing risk and uncertainity, the effective new product development team, the evolving role of corporate R&D, the new venture product company and the ethics of post-launch product management.",17.0,0,0.6844485616555015,480,"Topics include ethics, regulation, research, industry, entrepreneurship, and cost issues.",Product Development
900,"This seminar-style course provides an introduction to how theories, concepts, and methods from the humanities and social science can be applied to ethical problems in engineering.",18.0,0,0.8549953428338398,1163,Lectures on ethics in engineering practice included.,Engineering Ethics
902,This course cannot be used to fulfill any engineering technical requirements (units or courses).,18.0,0,0.5201349663462951,1952,"Prior to taking the course, design and analysis courses along with any project/construction management experience beneficial but not expected.",Construction
909,This interdisciplinary course will explore whether it has proven possible and desirable to understand society through value-free and positivistic scientific methods as predominantly developed in the transatlantic worlds of the 19th centuries.,18.0,0,0.5542732129267527,1946,"Presents the scientific method, in its many formulations, from historical, philosophical and sociological perspectives.",Philosophy
928,"The Darwinian Revolution was one of the greatest upheavals in human thought, involving the very basis of our self-awareness: Where did we come from?",18.0,0,0.4969198344373894,1292,Several world views of the proper relationship between human beings and nature will be explored.,Environmental
929,What is or should be the basis for our ethics and social behavior?,18.0,0,0.6154695162745247,136,Discuss and debate proper ethical behavior in these issues and situations and the relationship between business and personal ethical behavior.,Business
943,"Topics include: communications styles and assertiveness, technical communications (oral and written), lifelong learning, contemporary civil engineering issues, leadership, ethics, and personal and project management",18.0,0,0.7492493013605025,354,"Some topics include: history of civil engineering; present practice; typical employers; typical projects; design philosophy; professional topics including organizations, registrations, ethics.",Contemporary Issues
947,2 laboratories.,18.0,0,0.5266296201273657,738,Students will conduct independent research in either a PI's laboratory or in small groups in our teaching laboratories.,Experiments
948,"Nanotechnology basics, unique properties of nanomaterials, synthesis and characterization of nanomaterials from an environmental life-cycle perspective, environmental remediation using nanomaterials, environmental fate, transport, and toxicity of nanomaterials, sustainable nanotechnology, nanotechnology ethics and regulations, and careers in nanotechnology.",18.0,0,0.7474864026423007,1130,Introduction to the fundamentals of nanoscience and to the broader societal implications of implementing nanotechnology locally and globally.,Nanotechnology
954,"Small teams study and apply techniques of the engineering design process including problem definition, concept generation, feasibility studies and decision making.",19.0,0,0.6788681529297983,382,"Students working singly or in groups implement previously developed proposals for civil engineering design projects from first concepts through preliminary proposals, sketches, cost estimations, design, evaluation, consideration of realistic constraints such as economic, environmental, social, political, ethical, health and safety, manufacturability, and sustainability, oral presentation and written reports.",Teams
959,Professional ethics relevant for practicing engineers,19.0,0,0.911883416895698,998,Engineering ethics and professionalism.,Engineering Ethics And Profession
968,Life-cycle analysis.,19.0,0,0.8017016115807203,295,Life cycle cost analysis.,Environmental
969,Examination of relevant environmental and ethical issues.,19.0,0,0.7613698750456586,144,"Ecological, social, political, economic, and ethical implications of issues will be analyzed.",
981,Development of senior project proposa,19.0,0,0.5752069421234035,1468,This will be accomplished through presentation a discussion of critical issues as well as the application of these principles to the senior design project.,Communication And Design
